ID Gender,Gender,ID Industry Group,Industry Group,ID Year,Year,Median Earnings by Industry and Gender,Median Earnings by Industry and Gender Moe,Geography,ID Geography,Slug Geography
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2015,"2015",18780,6830,"Ames, IA","16000US1901855","ames-ia"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2015,"2015",20773,2943,"Ames, IA","16000US1901855","ames-ia"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2015,"2015",6384,888,"Ames, IA","16000US1901855","ames-ia"
1,"Female",13,"Other Services Except Public Administration",2015,"2015",13884,5997,"Ames, IA","16000US1901855","ames-ia"
1,"Female",14,"Public Administration",2015,"2015",33929,19060,"Ames, IA","16000US1901855","ames-ia"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2014,"2014",16913,6869,"Ames, IA","16000US1901855","ames-ia"
0,"Male",2,"Construction",2014,"2014",31568,10725,"Ames, IA","16000US1901855","ames-ia"
0,"Male",3,"Manufacturing",2014,"2014",36032,7538,"Ames, IA","16000US1901855","ames-ia"
0,"Male",4,"Wholesale Trade",2014,"2014",41458,16304,"Ames, IA","16000US1901855","ames-ia"
0,"Male",5,"Retail Trade",2014,"2014",13785,4274,"Ames, IA","16000US1901855","ames-ia"
0,"Male",6,"Transportation & Warehousing, & Utilities",2014,"2014",30134,22967,"Ames, IA","16000US1901855","ames-ia"
0,"Male",7,"Information",2014,"2014",39050,26697,"Ames, IA","16000US1901855","ames-ia"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2014,"2014",38203,11280,"Ames, IA","16000US1901855","ames-ia"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2014,"2014",25227,12872,"Ames, IA","16000US1901855","ames-ia"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2014,"2014",25024,5114,"Ames, IA","16000US1901855","ames-ia"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2014,"2014",8801,2297,"Ames, IA","16000US1901855","ames-ia"
0,"Male",13,"Other Services Except Public Administration",2014,"2014",40542,6490,"Ames, IA","16000US1901855","ames-ia"
0,"Male",14,"Public Administration",2014,"2014",48429,15113,"Ames, IA","16000US1901855","ames-ia"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2014,"2014",4340,9162,"Ames, IA","16000US1901855","ames-ia"
1,"Female",2,"Construction",2014,"2014",26365,16714,"Ames, IA","16000US1901855","ames-ia"
1,"Female",3,"Manufacturing",2014,"2014",29500,8634,"Ames, IA","16000US1901855","ames-ia"
1,"Female",4,"Wholesale Trade",2014,"2014",45972,62258,"Ames, IA","16000US1901855","ames-ia"
1,"Female",5,"Retail Trade",2014,"2014",9278,1969,"Ames, IA","16000US1901855","ames-ia"
1,"Female",6,"Transportation & Warehousing, & Utilities",2014,"2014",47578,40089,"Ames, IA","16000US1901855","ames-ia"
1,"Female",7,"Information",2014,"2014",16172,11772,"Ames, IA","16000US1901855","ames-ia"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2014,"2014",26005,5130,"Ames, IA","16000US1901855","ames-ia"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2014,"2014",19630,8395,"Ames, IA","16000US1901855","ames-ia"
